Date : 2025-03-17 22:39:08
Directory : d:\吾日三省吾身\项目开发\mahjong_all
Total : 48 files,  3731 codes, 466 comments, 615 blanks, all 4812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\mapper\UserMapper.java                | Java               |         16 |         12 |          7 |         35 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\GameService.java              | Java               |         19 |         36 |         15 |         70 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\RoomService.java              | Java               |         14 |         21 |         10 |         45 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\UserService.java              | Java               |         13 |         24 |         10 |         47 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\impl\GameServiceImpl.java     | Java               |        365 |         78 |         98 |        541 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\impl\RoomServiceImpl.java     | Java               |        142 |         26 |         44 |        212 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\java\com\example\mahjong\service\impl\UserServiceImpl.java     | Java               |         97 |         17 |         30 |        144 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\resources\application.yml                                      | YAML               |         22 |          0 |          3 |         25 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\resources\init.sql                                             | MS SQL             |        204 |          1 |         17 |        222 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\main\resources\test_data.sql                                        | MS SQL             |         93 |         15 |         14 |        122 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_backend\src\test\java\com\example\hello\HelloApplicationTest.java               | Java               |          3 |          0 |          2 |          5 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\README.md                                                              | Markdown           |          3 |          0 |          3 |          6 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\index.html                                                             | HTML               |         13 |          0 |          1 |         14 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\package-lock.json                                                      | JSON               |      1,361 |          0 |          1 |      1,362 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\package.json                                                           | JSON               |         21 |          0 |          1 |         22 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\public\vite.svg                                                        | XML                |          1 |          0 |          0 |          1 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\App.vue                                                            | vue                |         28 |          0 |          3 |         31 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\assets\vue.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\components\HelloWorld.vue                                          | vue                |         35 |          0 |          7 |         42 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\main.ts                                                            | TypeScript         |          4 |          0 |          2 |          6 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\style.css                                                          | CSS                |         70 |          0 |         10 |         80 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\src\vite-env.d.ts                                                      | TypeScript         |          0 |          1 |          1 |          2 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\tsconfig.app.json                                                      | JSON               |         12 |          1 |          2 |         15 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\tsconfig.json                                                          | JSON with Comments |          7 |          0 |          1 |          8 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\tsconfig.node.json                                                     | JSON               |         20 |          2 |          3 |         25 |
| d:\吾日三省吾身\项目开发\mahjong_all\mahjong_frontend\vite.config.ts                                                         | TypeScript         |          5 |          1 |          2 |          8 |
| Total                                                                                                              |                    |      3,731 |        466 |        615 |      4,812 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
